param YearSplit	:	2014		2015		2016		2017		2018		2019		2020		2021		2022		2023		2024		2025		2026		2027		2028		2029		2030		2031		2032		2033		2034			:=
JulWd1				0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	
JulWd2				0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	
JulWd3				0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	
JulWd4				0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	
JulWd5				0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	
JulWe1				0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	
JulWe2				0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	
JulWe3				0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	
JulWe4				0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	
JulWe5				0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	
AugWd1				0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	
AugWd2				0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	
AugWd3				0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	
AugWd4				0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	
AugWd5				0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	
