ID,y,t,l,f,e,m,r,ls,ld,lh,s
21,2015,,,fHYD,,,NO,,,,,0
21,2016,,,fHYD,,,NO,,,,,0
21,2017,,,fHYD,,,NO,,,,,0
21,2018,,,fHYD,,,NO,,,,,0
21,2019,,,fHYD,,,NO,,,,,0
21,2020,,,fHYD,,,NO,,,,,0
21,2021,,,fHYD,,,NO,,,,,0
21,2022,,,fHYD,,,NO,,,,,0
21,2023,,,fHYD,,,NO,,,,,0
21,2024,,,fHYD,,,NO,,,,,0
21,2025,,,fHYD,,,NO,,,,,0
21,2026,,,fHYD,,,NO,,,,,0
21,2027,,,fHYD,,,NO,,,,,0
21,2028,,,fHYD,,,NO,,,,,0
21,2029,,,fHYD,,,NO,,,,,0
21,2030,,,fHYD,,,NO,,,,,0
21,2031,,,fHYD,,,NO,,,,,0
21,2032,,,fHYD,,,NO,,,,,0
21,2033,,,fHYD,,,NO,,,,,0
21,2034,,,fHYD,,,NO,,,,,0
21,2014,,,fOIL,,,NO,,,,,0
21,2015,,,fOIL,,,NO,,,,,0
21,2016,,,fOIL,,,NO,,,,,0
21,2017,,,fOIL,,,NO,,,,,0
21,2018,,,fOIL,,,NO,,,,,0
21,2019,,,fOIL,,,NO,,,,,0
21,2020,,,fOIL,,,NO,,,,,0
21,2021,,,fOIL,,,NO,,,,,0
21,2022,,,fOIL,,,NO,,,,,0
21,2023,,,fOIL,,,NO,,,,,0
21,2024,,,fOIL,,,NO,,,,,0
21,2025,,,fOIL,,,NO,,,,,0
21,2026,,,fOIL,,,NO,,,,,0
21,2027,,,fOIL,,,NO,,,,,0
21,2028,,,fOIL,,,NO,,,,,0
21,2029,,,fOIL,,,NO,,,,,0
21,2030,,,fOIL,,,NO,,,,,0
21,2031,,,fOIL,,,NO,,,,,0
21,2032,,,fOIL,,,NO,,,,,0
21,2033,,,fOIL,,,NO,,,,,0
21,2034,,,fOIL,,,NO,,,,,0
21,2014,,,fURN,,,NO,,,,,0
21,2015,,,fURN,,,NO,,,,,0
21,2016,,,fURN,,,NO,,,,,0
21,2017,,,fURN,,,NO,,,,,0
21,2018,,,fURN,,,NO,,,,,0
21,2019,,,fURN,,,NO,,,,,0
21,2020,,,fURN,,,NO,,,,,0
21,2021,,,fURN,,,NO,,,,,0
21,2022,,,fURN,,,NO,,,,,0
21,2023,,,fURN,,,NO,,,,,0
21,2024,,,fURN,,,NO,,,,,0
21,2025,,,fURN,,,NO,,,,,0
21,2026,,,fURN,,,NO,,,,,0
21,2027,,,fURN,,,NO,,,,,0
21,2028,,,fURN,,,NO,,,,,0
21,2029,,,fURN,,,NO,,,,,0
21,2030,,,fURN,,,NO,,,,,0
21,2031,,,fURN,,,NO,,,,,0
21,2032,,,fURN,,,NO,,,,,0
21,2033,,,fURN,,,NO,,,,,0
21,2034,,,fURN,,,NO,,,,,0
22,2014,,ID,fDSL,,,NO,,,,,0
22,2015,,ID,fDSL,,,NO,,,,,0
22,2016,,ID,fDSL,,,NO,,,,,0
22,2017,,ID,fDSL,,,NO,,,,,0
22,2018,,ID,fDSL,,,NO,,,,,0
22,2019,,ID,fDSL,,,NO,,,,,0
22,2020,,ID,fDSL,,,NO,,,,,0
22,2021,,ID,fDSL,,,NO,,,,,0
22,2022,,ID,fDSL,,,NO,,,,,0
22,2023,,ID,fDSL,,,NO,,,,,0
22,2024,,ID,fDSL,,,NO,,,,,0
22,2025,,ID,fDSL,,,NO,,,,,0
22,2026,,ID,fDSL,,,NO,,,,,0
22,2027,,ID,fDSL,,,NO,,,,,0
22,2028,,ID,fDSL,,,NO,,,,,0
22,2029,,ID,fDSL,,,NO,,,,,0
22,2030,,ID,fDSL,,,NO,,,,,0
22,2031,,ID,fDSL,,,NO,,,,,0
22,2032,,ID,fDSL,,,NO,,,,,0
22,2033,,ID,fDSL,,,NO,,,,,0
22,2034,,ID,fDSL,,,NO,,,,,0
22,2014,,IN,fDSL,,,NO,,,,,0
22,2015,,IN,fDSL,,,NO,,,,,0
22,2016,,IN,fDSL,,,NO,,,,,0
22,2017,,IN,fDSL,,,NO,,,,,0
22,2018,,IN,fDSL,,,NO,,,,,0
22,2019,,IN,fDSL,,,NO,,,,,0
22,2020,,IN,fDSL,,,NO,,,,,0
22,2021,,IN,fDSL,,,NO,,,,,0
22,2022,,IN,fDSL,,,NO,,,,,0
22,2023,,IN,fDSL,,,NO,,,,,0
22,2024,,IN,fDSL,,,NO,,,,,0
22,2025,,IN,fDSL,,,NO,,,,,0
22,2026,,IN,fDSL,,,NO,,,,,0
22,2027,,IN,fDSL,,,NO,,,,,0
22,2028,,IN,fDSL,,,NO,,,,,0
22,2029,,IN,fDSL,,,NO,,,,,0
22,2030,,IN,fDSL,,,NO,,,,,0
22,2031,,IN,fDSL,,,NO,,,,,0
22,2032,,IN,fDSL,,,NO,,,,,0
22,2033,,IN,fDSL,,,NO,,,,,0
22,2034,,IN,fDSL,,,NO,,,,,0
22,2014,,SD,fDSL,,,NO,,,,,0
22,2015,,SD,fDSL,,,NO,,,,,0
22,2016,,SD,fDSL,,,NO,,,,,0
22,2017,,SD,fDSL,,,NO,,,,,0
22,2018,,SD,fDSL,,,NO,,,,,0
22,2019,,SD,fDSL,,,NO,,,,,0
22,2020,,SD,fDSL,,,NO,,,,,0
